Bankrupt?,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth
0,0.91,0.77,0.35,0.17,0.07,0.71,2.14,0.03,0.07,9.92,0.180338386,0.013984212,0.111111111
0,3.17,0.76,0.14,0.17,0.13,0.12,0.3,0.44,0.04,463.73,0.833992764,0.006773544,0.307580175
0,1.53,0.76,-0.52,0.17,0.12,3.23,0.55,0.21,0.07,123.53,-0.07382941,2.747828577,0.049904031
0,1.1,0.76,0.05,0.17,0.03,0.18,0.41,0.08,0.05,63.13,0.041762952,0.154846131,0.180863477
0,0.96,0.76,0.1,0.17,0.1,0.42,0.41,0.24,0.11,55.27,0.209479621,0.175598719,0.001071811
0,1.61,0.75,0.09,0.17,0.08,0.52,0.34,0.24,0.02,1891.37,0.405433111,0.178252551,0.372420464
0,1.37,0.75,0.18,0.17,0.12,0.57,1.33,0.09,0.06,18.42,0.049220872,0.069295011,0.087264151
0,1.26,0.75,0.29,0.17,0.06,0.91,0.45,0.13,0.04,53.67,0.008469857,0.133726396,0
0,1.15,0.75,0.26,0.17,0.09,0.16,2.2,0.04,0.08,9.8,0.208657326,0.165557016,0.01402214
0,1.42,0.74,-0.02,0.17,0.11,0.78,0.59,0.18,0.04,327.31,0.082774112,0.073313365,0
0,1.24,0.74,0.19,0.17,0.07,0.22,0.8,0.08,0.04,48.26,0.1765684,0.166357601,0.151968504
0,4.26,0.73,0.21,0.17,0.1,0.36,1.14,0.09,0.02,491.4,0.170736004,0.388330766,0.506024096
0,2.44,0.73,0.59,0.17,0.18,0.02,1.03,0.17,0.05,198.41,-0.019470577,0.213982717,0.239130435
0,1.19,0.73,0.15,0.17,0.08,2.48,1.81,0.04,0.03,66.08,0.084534112,0.102798272,0.2
0,0.98,0.73,0.21,0.17,0.07,0.27,0.51,0.13,0.08,20.43,0.032833804,0.00498076,-0.058300395
0,2.89,0.72,0.31,0.17,0.16,0.63,3.43,0.05,0.03,88.01,0.912348516,0.728511873,1.035
0,1.95,0.72,0,0.17,0.07,1.43,0.53,0.14,0.03,463.35,0.075383368,0.029353963,0.023255814
0,1.72,0.72,0.26,0.17,0.16,0.33,0.91,0.17,0.07,56.97,0.289020508,0.492476919,0.414156627
0,1.58,0.72,-0.02,0.17,0.08,0.51,0.25,0.31,0.06,106.5,0.364570615,0.119281943,1
0,1.38,0.72,0.14,0.17,0.1,0.91,0.57,0.18,0.04,693.83,0.080222366,0.030207458,0.038158408
0,1.58,0.71,0.3,0.17,0.1,0.32,0.6,0.16,0.04,61.93,0.03390182,-0.086363902,0.030272452
0,1.43,0.71,0.26,0.17,0.13,1.31,0.61,0.21,0.09,10.34,0.712826009,0.068923777,-0.312727273
0,1.29,0.71,0.26,0.17,0.1,0.8,1.65,0.06,0.07,70.29,0.272604609,0.186353802,0.333333333
0,1.13,0.71,0.08,0.17,0.08,1.5,1.11,0.07,0.02,78.95,1.057502552,0.325498716,0.422818792
0,1.94,0.7,0.32,0.17,0.14,0.49,1.57,0.09,0.05,12.72,0.762746659,0.45118473,0.248581158
0,1.51,0.7,0.08,0.17,0.09,0.8,0.57,0.15,0.07,667.73,0.11399979,0.117986495,0
0,7.37,0.68,0.26,0.17,0.11,0.03,0.37,0.3,0.01,5563.11,0.411131779,0.783292974,0.425
0,2.51,0.68,0.62,0.17,0.01,0.67,0.23,0.03,0.01,308.29,0.954164998,0.256507767,0.0953125
0,0.95,0.68,0.36,0.17,0.05,0.1,0.49,0.11,0.07,63.29,-0.054791953,-0.077736615,-0.012903226
0,3.57,0.67,0,0.17,0.16,0.33,0.99,0.16,0.03,259.97,0.806943268,0.633406034,0.70261067
0,2.47,0.67,0.21,0.17,0.15,0.01,1.04,0.15,0.04,45.38,0.707471281,0.634190173,0.264925373
0,1.95,0.67,0.15,0.17,0.21,0.43,1.06,0.19,0.1,296.02,0.388803176,0.306762152,0.259985476
0,1.12,0.67,0.32,0.17,0.19,0.18,2.03,0.09,0.14,48.58,-0.187231548,0.011773321,-0.50877193
0,3.39,0.66,0.43,0.17,0.04,0.01,0.46,0.08,0.02,885.11,0.000435555,0.076805387,0.06557377
0,4.72,0.65,0.12,0.17,0.12,0.01,1.7,0.07,0.02,154.32,0.646193496,0.42113635,0.411416741
0,1.04,0.65,0.63,0.17,0.08,0.43,0.65,0.13,0.07,9.46,0.054265145,-0.000577893,-0.111969112
0,1.04,0.65,0.04,0.17,0.05,0.71,0.29,0.16,0.07,40.63,0.064585612,-0.059148938,0
0,1,0.64,0.42,0.17,0.08,0.67,1.76,0.05,0.08,10.94,0.060908467,0.12099264,0.042553191
0,1.34,0.63,0.45,0.17,0.05,1.79,1.27,0.04,0.04,6.3,0.060299823,0.284944359,0.137823834
0,0.94,0.63,0.44,0.17,0.09,0.93,1.53,0.06,0.12,0.68,-0.075158501,-0.092478285,0.175097276
0,0.45,0.63,-0.01,0.17,-0.02,0.33,0.08,-0.25,3.23,34.5,1.425309033,6.451565558,-0.166666667
0,3.48,0.62,0.27,0.17,0.12,0.06,0.75,0.16,0.03,12.62,0.317937952,0.075364047,0.1
0,1,0.62,0.45,0.17,0.11,2.22,1.82,0.06,0.13,1.27,0.195661282,0.588925833,0.050919378
0,0.89,0.62,0.39,0.17,0.06,1.49,0.92,0.06,0.08,4.91,-0.053145072,-0.043400086,-0.021483021
