Bankrupt?,"Operating revenue (Turnover)
th GBP Last avail. yr","Number of employees
Last avail. yr","Operating Profit
th GBP Last avail. yr","EBITDA
th GBP Last avail. yr","Cash In(Out)flow Operat. Activ.
th GBP Last avail. yr","Total Other Current Liabilities
th GBP Last avail. yr","Current Liabilities
th GBP Last avail. yr","Working Capital
th GBP Last avail. yr","Long Term Debt
th GBP Last avail. yr","Tangible Assets
th GBP Last avail. yr","Fixed Assets
th GBP Last avail. yr","Current Assets
th GBP Last avail. yr","Net Assets Turnover (x)
Last avail. yr","Fixed Assets Turnover (x)
Last avail. yr","Interest Cover (x)
Last avail. yr","Stock Turnover (x)
Last avail. yr","Debtors Turnover (x)
Last avail. yr","Debtor Collection
Last avail. yr","Creditors Payment
Last avail. yr","Return on Shareholders Funds
Last avail. yr","Return on Capital Employed
Last avail. yr","Return on Total Assets
Last avail. yr","Profit margin
Last avail. yr","Gross margin
Last avail. yr","EBIT margin
Last avail. yr","EBITDA margin
Last avail. yr","Current ratio (x)
Last avail. yr","Liquidity ratio (x)
Last avail. yr","Shareholders liquidity ratio (x)
Last avail. yr","Solvency ratio (Asset based)
Last avail. yr","Asset Cover (x)
Last avail. yr","Gearing
Last avail. yr","Profit per employee (unit)
GBP Last avail. yr","Turnover per employee (unit)
GBP Last avail. yr","Salaries/ Turnover
Last avail. yr","Average Remuneration per employee
GBP Last avail. yr","Shareholders Funds per employee
GBP Last avail. yr","Working Capital per employee
GBP Last avail. yr","Total Assets per employee
GBP Last avail. yr"
1,166264,364,28496,95520,121914,-415055,-623665,10368,-347927,100087,386791,685139,0.370905603,0.429854883,0.999514527,58.58491896,13.58033162,26.87710509,10.34646706,-0.019786609,-0.00290007,-0.001212766,-0.00781889,45.94500313,17.13900784,57.45080114,1.098568943,1.094018423,0.171738585,6.129224856,3.080904902,892.6211169,-35.71428571,456769.2308,14.18827888,64807.69231,180497.2527,28483.51648,
1,160205,908,20031,25818,-13994,-48244,-52076,17837,-7000,55944,70340,64281,1.940820159,2.277580324,24.45787546,32.44329688,10.74696451,33.96307856,4.574888424,27.55001076,23.2745775,14.27117612,11.99213508,43.11975282,12.50335508,16.11560189,1.234368999,1.139546048,5.443793911,51.80098202,19.23157143,20.9851581,21158.59031,176437.2247,44.18651103,77961.45374,76800.66079,19644.27313,148261.0132
1,158147,1177,-8011,-4278,,-14359,-46316,28220,-91317,3755,21211,69509,3.561548509,7.455895526,-2.358303249,6.467650908,9.948855058,36.68763872,27.99117277,,-25.13962706,-12.30489418,-7.058622674,52.5972671,-5.065540288,-2.705078187,1.500755678,0.972817169,-0.536463662,-56.6468254,0.993462335,,-9484.282073,134364.486,19.50084415,26202.20901,,23976.21071,77077.31521
1,150583,580,9298,13951,,-13791,-39234,-2174,-6293,7793,19127,25608,27.37375023,7.872797616,7.207751938,30.08651349,18.61347342,19.60945127,37.01071834,,145.5735321,17.90097239,5.317997384,32.52824024,6.174667791,9.264658029,0.652699189,0.525131264,-0.192335927,-2.928355873,7.108692198,,13806.89655,259625.8621,12.1826501,31629.31034,,-3748.275862,77129.31034
1,150304.1618,1635,7370.667699,13709.0315,4660.089262,-18793.81968,-31408.98378,23157.69037,-131838.6808,42654.58306,129256.5827,43412.08178,1.064027342,1.162835646,1.016113161,12.62534662,6.8851923,53.01231746,25.68606791,1.809870347,0.082742243,0.067691163,0.077763267,5.210732518,4.903834738,9.120859551,1.38215493,1.003124734,0.042524611,3.740111176,1.30969654,,63.78256171,82021.45302,44.70378725,36666.69586,3524.150877,12637.22415,94225.8321
1,148060,2597,-52009,-40473,9016,-17322,-28453,-4955,-79945,124702,136342,15811,1.196928052,1.085945637,-8.440416192,67.82409528,116.7665615,3.125894907,20.72261245,-355.395067,-46.94260307,-38.16421628,-39.21923545,76.96204242,-35.12697555,-27.33553965,0.555688328,0.478965311,0.15218748,10.73853292,1.903220964,673.7621641,-22359.64575,57011.93685,25.78684317,14701.57874,6291.490181,-1907.970735,58587.98614
1,146904,1905,16565,26980,15470,-20187,-65127,36416,-58798,27307,129636,71206,1.082444829,1.13320374,4.411573472,15.06089809,3.559755743,102.535125,36.29029843,21.43411539,11.59857053,7.837504108,10.71516092,49.01296085,11.27607145,18.36573545,1.093340704,0.943571791,1.179250434,36.565559,3.415796456,126.1046583,8262.992126,77114.96063,38.34885367,29572.70341,38550.65617,19116.0105,105428.8714
1,137300,2705,-179700,500,7800,-65400,-81500,-1500,-81700,124600,161700,19500,1.377131394,0.849103278,-9.415789474,91.53333333,228.8333333,1.595047342,9.57028405,,-198.4954865,-109.2163355,,81.35469774,,0.36416606,0.239263804,0.220858896,0.032091097,1.710816777,2.217870257,,-73160.81331,50757.85582,19.59213401,9944.547135,1146.025878,-554.5286506,66987.061
1,135924,3322,582,1977,-15006,-13633,-26436,29277,-4500,6171,8401,40463,6.060460139,16.17950244,1.162264151,4.692860102,16.49362941,22.12975633,21.28924988,0.596890616,0.38344926,0.17599869,0.063270651,11.35193196,0.428180454,1.454489273,1.530602209,0.434975034,1.796508728,29.48592011,10.85866667,89.49888951,25.88801927,40916.31547,25.32003178,10360.02408,4337.146297,8813.064419,14709.21132
1,128738,3180,-571,7718,-4784,-7929,-21061,-3485,-70000,70690,74538,11848,1.970730961,1.727145885,-0.980043514,52.4604727,569.6371681,0.64075875,17.47910485,,-40.40107157,-30.55124673,-20.50055151,73.40489987,-0.443536485,5.995121875,0.562556384,0.4460377,-0.099685769,-8.372884495,1.234085714,,-8299.371069,40483.6478,27.38196958,11085.22013,,-1095.91195,27165.40881
